GROUPID,KESATUAN
91310,KODIM 1310 - Bitung
91312,KODIM 1312 - Talaud
9132,KOREM 132 - Tadulako
91305,KODIM 1305 - Tolitoli
91306,KODIM 1306 - Donggala
91307,KODIM 1307 - Poso
91308,KODIM 1308 - Luwuk
91311,KODIM 1311 - Morowali
9133,KOREM 133 - Nani Wartabone
91304,KODIM 1304 - Gorontalo
91313,KODIM 1313 - Pohuwato
91314,KODIM 1314 - Gorontalo Utara
91315,KODIM 1315 - Boalemo
91316,KODIM 1316 - Kabupaten Gorontalo
973,KODAM XIV - Hasanuddin
91408,KODIM 1408 - Makassar
9141,KOREM 141 - Toddopuli
91403,KODIM 1403 - Palopo
91404,KODIM 1404 - Pinrang
91405,KODIM 1405 - Pare-pare
91406,KODIM 1406 - Sengkang
91407,KODIM 1407 - Watampone
91409,KODIM 1409 - Sungguminasa
91410,KODIM 1410 - Bantaeng
91411,KODIM 1411 - Bulukumba
91414,KODIM 1414 - Makale
91415,KODIM 1415 - Selayar
91419,KODIM 1419 - Enrekang
91420,KODIM 1420 - Sidrap
91421,KODIM 1421 - Pangkep
91422,KODIM 1422 - Maros
91423,KODIM 1423 - Soppeng
91424,KODIM 1424 - Sinjai
91425,KODIM 1425 - Jeneponto
91426,KODIM 1426 - Takalar
9142,KOREM 142 - Taroada Tarogau
91401,KODIM 1401 - Majene
91402,KODIM 1402 - Polewali
91418,KODIM 1418 - Mamuju
91427,KODIM 1427 - Mamuju Utara
91428,KODIM 1428 - Mamasa
9143,KOREM 143 - Halu Oleo
91412,KODIM 1412 - Kolaka
91413,KODIM 1413 - Buton
91416,KODIM 1416 - Muna
91417,KODIM 1417 - Kendari
91429,KODIM 1429 - Buton Utara
91430,KODIM 1430 - Konawe Utara
981,KODAM XVI - Pattimura
91502,KODIM 1502 - Masohi
91503,KODIM 1503 - Tual
91504,KODIM 1504 - Ambon
91506,KODIM 1506 - Namlea
91507,KODIM 1507 - Saumlaki
91511,KODIM 1511 - Pulau Moa
9152,KOREM 152 - Baabullah
91501,KODIM 1501 - Ternate
91505,KODIM 1505 - Tidore
91508,KODIM 1508 - Tobelo
91509,KODIM 1509 - Labuha
91510,KODIM 1510 - Sanana
91512,KODIM 1512 - Weda
951,KODAM IX - Udayana
9161,KOREM 161 - Wira Sakti
91601,KODIM 1601 - Waingapu
91602,KODIM 1602 - Ende
91603,KODIM 1603 - Maumere
91604,KODIM 1604 - Kupang
91605,KODIM 1605 - Belu
91612,KODIM 1612 - Ruteng
91613,KODIM 1613 - Sumba Barat
91618,KODIM 1618 - Kefamenanu
91621,KODIM 1621 - Timor Tengah Selatan
91622,KODIM 1622 - Kalabahi
91624,KODIM 1624 - Larantuka
91625,KODIM 1625 - Bajawa
91627,KODIM 1627 - Rote Ndao
91629,KODIM 1629 - Sumba Barat Daya
9162,KOREM 162 - Wira Bhakti
91606,KODIM 1606 - Mataram
91607,KODIM 1607 - Sumbawa Besar
91608,KODIM 1608 - Bima
91614,KODIM 1614 - Dompu
91615,KODIM 1615 - Lombok Timur
91620,KODIM 1620 - Praya
91628,KODIM 1628 - Taliwang
9163,KOREM 163 - Wira Satya
91609,KODIM 1609 - Buleleng
91610,KODIM 1610 - Klungkung
91611,KODIM 1611 - Badung
91616,KODIM 1616 - Gianyar
91617,KODIM 1617 - Negara
91619,KODIM 1619 - Tabanan
91623,KODIM 1623 - Karangasem
91626,KODIM 1626 - Bangli
991,KODAM XVII - Cenderawasih
9172,KOREM 172 - Praja Wira Yakhti
91701,KODIM 1701 - Jayapura
91702,KODIM 1702 - Jayawijaya
91712,KODIM 1712 - Sarmi
91715,KODIM 1715 - Yahukimo
9173,KOREM 173 - Praja Wira Braja
91703,KODIM 1703 - Deiyai
91705,KODIM 1705 - Nabire
91708,KODIM 1708 - Biak
91709,KODIM 1709 - Serui
